加油站名称,唯一标示码
汇源站,HYZ
151站,151Z
伊克高里加油站,YKGLJYZ
大柴旦加油站,DCDJYZ
涩北加油站,SBJYZ
白水河加油站,BSHJYZ
前进加油站,QJJYZ
南山口加油站,NSKJYZ
花土沟加油站,HTGJYZ
南郊加油站,NJJYZ
六一桥加油站,LYQJYZ
宁大加油站,NDJYZ
八一路加油站,BYLJYZ
峡口加油站,XKJYZ
导向加油站,DXJYZ
中庄加油站,ZZJYZ
上新庄工业园区加油站,SXZGYYQJYZ
飞天加油站,FTJYZ
循化街子站,XHJZZ
化隆多巴站,HLDBZ
互助东环站,HZDHZ
都兰加油站,DLJYZ48
都兰胜利加油站,DLSLJYZ
大柴旦国道西出口加油站,DCDGDXCKJYZ
郭镇加油站,GZJYZ
金属镁加油站,JSMJYZ
马坊加油站,mf
五四加油站,54
乐都河湟站,LDHHZ
乐都滨河站,LDBHZ
民和米拉湾站,MHMLWZ
民和史纳站,MHSNZ
曹家堡服务区加油站,air
第六加油站,DLJYZ
桥头加油站,QTJYZ
奔驰加油站,BCJYZ
东门加油站,DMJYZ
西门加油站,XMJYZ
三其加油站,SQJYZ
海湖桥加油站,HHQJYZ
生物园区加油站,SWYQJYZ
光华加油路,GHJYL
城南加油站,CNJYZ
水磨加油站,SMJYZ
德令哈加油站,DLHJYZ
开发区加油站,KFQJYZ
杨家庄加油站,YJZJYZ
韵家口加油站,YJKJYZ
祁连路加油站,QLLJYZ
北环加油站,BHJYZ
甘河滩加油站,GHTJYZ
第二加油站,DEJYZ
尚丽群加油站,SLQJYZ
新纪元加油站,XJYJYZ
董家庄站,DJZZ
日月站,RYZ
茶汗素站,CHSZ
东关,DG
大华,DH
共和服务区北站,GHFWQBZ
共和服务区南站,GHFWQNZ
倒淌河站,DTHZ
贵德河东站,GDHDZ
贵德郭拉站,GDGLZ
祁连城东站,QLCDZ
刚察城东站,GCCDZ
海北西海站,HBXHZ
海北城西站,HBCXZ
平安中心站,PAZXZ
平安瑶房站,PAYFZ
平安平茂站,PAPMZ
民和县城站,MHXCZ
循化县城站,XHXCZ
化隆群科东站,HLQKDZ
化隆阿李高速停车区,HLALGSTCQ
互助威远站,HZWYZ
天峻二站,TJEZ
德令哈青新加油站,DLHQXJYZ
德令哈昆仑加油站,DLHKLJYZ
德令哈长江路加油站,DLHCJLJYZ
天峻三站,TJSZ
乌兰交通(第二)加油站,WLJT(DE)JYZ
黄河路加油站,HHLJYZ
小岛加油站,XDJYZ
柴达木路加油站,CDMLJYZ
滨河加油站,BHJYZ32
泰山加油站,TSJYZ
盐桥中路加油站,YQZLJYZ
长江南路加油站,CJNLJYZ
北郊加油站,BJJYZ
黄南第二加油站,HNDEJYZ
同德县站,TDXZ
贵南城西站,GNCXZ
兴海东大街站,XHDDJZ
同仁年都乎出入口加油站,TRNDHCRKJYZ
尖扎县城加油站,JZXCJYZ
河南县城加油站,HNXCJYZ
泽库县城加油站,ZKXCJYZ
三岔口加油站,SCKJYZ
大武加油站,DWJYZ
久治加油站,JZJYZ
玛沁加油站,MQJYZ
达日加油站,DRJYZ
班玛加油站,BMJYZ
新寨加油站,XZJYZ
结古加油站,JGJYZ
赛马场加油站,SMCJYZ
囊谦加油站,NQJYZ
西杭加油站,XHJYZ
清水河加油站,QSHJYZ
